Epoch  64  trn-loss: 677.1776  ndcg100: 0.0092  recall: 0.0085  recall: 0.0153
Epoch  65  trn-loss: 785.0054  ndcg100: 0.0093  recall: 0.0086  recall: 0.0153
Epoch  66  trn-loss: 245.5277  ndcg100: 0.0094  recall: 0.0088  recall: 0.0154
Epoch  67  trn-loss: 536.4754  ndcg100: 0.0093  recall: 0.0084  recall: 0.0152
Epoch  68  trn-loss: 1107.8643  ndcg100: 0.0094  recall: 0.0087  recall: 0.0154
Epoch  69  trn-loss: 210.8424  ndcg100: 0.0092  recall: 0.0086  recall: 0.0153
Epoch  70  trn-loss: 630.5278  ndcg100: 0.0092  recall: 0.0085  recall: 0.0152
Epoch  71  trn-loss: 647.7619  ndcg100: 0.0093  recall: 0.0086  recall: 0.0155
Epoch  72  trn-loss: 1098.3727  ndcg100: 0.0092  recall: 0.0085  recall: 0.0150
Epoch  73  trn-loss: 261.1743  ndcg100: 0.0093  recall: 0.0086  recall: 0.0155
Epoch  74  trn-loss: 289.1809  ndcg100: 0.0091  recall: 0.0083  recall: 0.0151
Epoch  75  trn-loss: 534.0789  ndcg100: 0.0092  recall: 0.0084  recall: 0.0152
Epoch  76  trn-loss: 576.7473  ndcg100: 0.0093  recall: 0.0085  recall: 0.0153
Epoch  77  trn-loss: 1198.1664  ndcg100: 0.0093  recall: 0.0086  recall: 0.0154
Epoch  78  trn-loss: 619.8630  ndcg100: 0.0093  recall: 0.0086  recall: 0.0153
Epoch  79  trn-loss: 360.9905  ndcg100: 0.0090  recall: 0.0083  recall: 0.0150
Epoch  80  trn-loss: 533.8525  ndcg100: 0.0093  recall: 0.0084  recall: 0.0153
Epoch  81  trn-loss: 582.5831  ndcg100: 0.0093  recall: 0.0086  recall: 0.0154
Epoch  82  trn-loss: 307.3799  ndcg100: 0.0093  recall: 0.0086  recall: 0.0156
Epoch  83  trn-loss: 744.2900  ndcg100: 0.0092  recall: 0.0084  recall: 0.0151
Epoch  84  trn-loss: 1075.0618  ndcg100: 0.0093  recall: 0.0085  recall: 0.0152
Epoch  85  trn-loss: 477.5380  ndcg100: 0.0093  recall: 0.0085  recall: 0.0154
Epoch  86  trn-loss: 1978.2852  ndcg100: 0.0093  recall: 0.0086  recall: 0.0153
Epoch  87  trn-loss: 1999.1422  ndcg100: 0.0093  recall: 0.0088  recall: 0.0154
Epoch  88  trn-loss: 1006.2131  ndcg100: 0.0092  recall: 0.0083  recall: 0.0149
Epoch  89  trn-loss: 540.0604  ndcg100: 0.0094  recall: 0.0085  recall: 0.0154
Epoch  90  trn-loss: 1083.8281  ndcg100: 0.0092  recall: 0.0087  recall: 0.0152
Epoch  91  trn-loss: 566.9686  ndcg100: 0.0093  recall: 0.0086  recall: 0.0152
Epoch  92  trn-loss: 593.1042  ndcg100: 0.0092  recall: 0.0084  recall: 0.0152
Epoch  93  trn-loss: 798.6306  ndcg100: 0.0093  recall: 0.0086  recall: 0.0153
Epoch  94  trn-loss: 325.8349  ndcg100: 0.0092  recall: 0.0084  recall: 0.0151
Epoch  95  trn-loss: 1622.5377  ndcg100: 0.0093  recall: 0.0088  recall: 0.0156
Epoch  96  trn-loss: 434.8047  ndcg100: 0.0094  recall: 0.0088  recall: 0.0155
Epoch  97  trn-loss: 498.2650  ndcg100: 0.0092  recall: 0.0084  recall: 0.0152
Epoch  98  trn-loss: 480.7195  ndcg100: 0.0094  recall: 0.0087  recall: 0.0156
Epoch  99  trn-loss: 1504.3489  ndcg100: 0.0092  recall: 0.0085  recall: 0.0155
Epoch  100  trn-loss: 1146.2148  ndcg100: 0.0093  recall: 0.0087  recall: 0.0154
Epoch  101  trn-loss: 866.0221  ndcg100: 0.0094  recall: 0.0087  recall: 0.0155
Epoch  102  trn-loss: 157.1088  ndcg100: 0.0093  recall: 0.0084  recall: 0.0153
Epoch  103  trn-loss: 557.6694  ndcg100: 0.0093  recall: 0.0084  recall: 0.0153
Epoch  104  trn-loss: 843.8304  ndcg100: 0.0092  recall: 0.0086  recall: 0.0152
Epoch  105  trn-loss: 638.1505  ndcg100: 0.0092  recall: 0.0085  recall: 0.0151
Epoch  106  trn-loss: 940.0492  ndcg100: 0.0093  recall: 0.0087  recall: 0.0155
Epoch  107  trn-loss: 430.0941  ndcg100: 0.0093  recall: 0.0085  recall: 0.0152
Epoch  108  trn-loss: 793.7798  ndcg100: 0.0092  recall: 0.0084  recall: 0.0151
Epoch  109  trn-loss: 164.8601  ndcg100: 0.0093  recall: 0.0088  recall: 0.0154
